NAME        PROPERTY              VALUE                  SOURCE
zpool/boot  type                  filesystem             -
zpool/boot  creation              Sun Aug 20 20:06 2023  -
zpool/boot  used                  90.9M                  -
zpool/boot  available             3.43T                  -
zpool/boot  referenced            90.9M                  -
zpool/boot  compressratio         1.00x                  -
zpool/boot  mounted               no                     -
zpool/boot  quota                 none                   default
zpool/boot  reservation           none                   default
zpool/boot  recordsize            128K                   default
zpool/boot  mountpoint            none                   local
zpool/boot  sharenfs              off                    default
zpool/boot  checksum              on                     default
zpool/boot  compression           on                     default
zpool/boot  atime                 on                     default
zpool/boot  devices               on                     default
zpool/boot  exec                  on                     default
zpool/boot  setuid                on                     default
zpool/boot  readonly              off                    default
zpool/boot  zoned                 off                    default
zpool/boot  snapdir               hidden                 default
zpool/boot  aclmode               discard                default
zpool/boot  aclinherit            restricted             default
zpool/boot  createtxg             115325                 -
zpool/boot  canmount              on                     default
zpool/boot  xattr                 on                     default
zpool/boot  copies                1                      default
zpool/boot  version               5                      -
zpool/boot  utf8only              off                    -
zpool/boot  normalization         none                   -
zpool/boot  casesensitivity       sensitive              -
zpool/boot  vscan                 off                    default
zpool/boot  nbmand                off                    default
zpool/boot  sharesmb              off                    default
zpool/boot  refquota              none                   default
zpool/boot  refreservation        none                   default
zpool/boot  guid                  2106734341623022100    -
zpool/boot  primarycache          all                    default
zpool/boot  secondarycache        all                    default
zpool/boot  usedbysnapshots       0B                     -
zpool/boot  usedbydataset         90.9M                  -
zpool/boot  usedbychildren        0B                     -
zpool/boot  usedbyrefreservation  0B                     -
zpool/boot  logbias               latency                default
zpool/boot  objsetid              300                    -
zpool/boot  dedup                 off                    default
zpool/boot  mlslabel              none                   default
zpool/boot  sync                  standard               default
zpool/boot  dnodesize             legacy                 default
zpool/boot  refcompressratio      1.00x                  -
zpool/boot  written               90.9M                  -
zpool/boot  logicalused           91.6M                  -
zpool/boot  logicalreferenced     91.6M                  -
zpool/boot  volmode               default                default
zpool/boot  filesystem_limit      none                   default
zpool/boot  snapshot_limit        none                   default
zpool/boot  filesystem_count      none                   default
zpool/boot  snapshot_count        none                   default
zpool/boot  snapdev               hidden                 default
zpool/boot  acltype               off                    default
zpool/boot  context               none                   default
zpool/boot  fscontext             none                   default
zpool/boot  defcontext            none                   default
zpool/boot  rootcontext           none                   default
zpool/boot  relatime              on                     default
zpool/boot  redundant_metadata    all                    default
zpool/boot  overlay               on                     default
zpool/boot  encryption            off                    default
zpool/boot  keylocation           none                   default
zpool/boot  keyformat             none                   default
zpool/boot  pbkdf2iters           0                      default
zpool/boot  special_small_blocks  0                      default
