NAME               PROPERTY              VALUE                     SOURCE
zpool/gentoo/root  type                  filesystem                -
zpool/gentoo/root  creation              Sun Aug 20 16:25 2023     -
zpool/gentoo/root  used                  3.33G                     -
zpool/gentoo/root  available             3.43T                     -
zpool/gentoo/root  referenced            2.29G                     -
zpool/gentoo/root  compressratio         1.23x                     -
zpool/gentoo/root  mounted               yes                       -
zpool/gentoo/root  quota                 none                      default
zpool/gentoo/root  reservation           none                      default
zpool/gentoo/root  recordsize            128K                      default
zpool/gentoo/root  mountpoint            /sysroot                  local
zpool/gentoo/root  sharenfs              off                       default
zpool/gentoo/root  checksum              on                        default
zpool/gentoo/root  compression           on                        default
zpool/gentoo/root  atime                 on                        default
zpool/gentoo/root  devices               on                        default
zpool/gentoo/root  exec                  on                        default
zpool/gentoo/root  setuid                on                        default
zpool/gentoo/root  readonly              off                       default
zpool/gentoo/root  zoned                 off                       default
zpool/gentoo/root  snapdir               hidden                    default
zpool/gentoo/root  aclmode               discard                   default
zpool/gentoo/root  aclinherit            restricted                default
zpool/gentoo/root  createtxg             91                        -
zpool/gentoo/root  canmount              on                        default
zpool/gentoo/root  xattr                 on                        default
zpool/gentoo/root  copies                1                         default
zpool/gentoo/root  version               5                         -
zpool/gentoo/root  utf8only              off                       -
zpool/gentoo/root  normalization         none                      -
zpool/gentoo/root  casesensitivity       sensitive                 -
zpool/gentoo/root  vscan                 off                       default
zpool/gentoo/root  nbmand                off                       default
zpool/gentoo/root  sharesmb              off                       default
zpool/gentoo/root  refquota              none                      default
zpool/gentoo/root  refreservation        none                      default
zpool/gentoo/root  guid                  2026319059069114529       -
zpool/gentoo/root  primarycache          all                       default
zpool/gentoo/root  secondarycache        all                       default
zpool/gentoo/root  usedbysnapshots       1.05G                     -
zpool/gentoo/root  usedbydataset         2.29G                     -
zpool/gentoo/root  usedbychildren        0B                        -
zpool/gentoo/root  usedbyrefreservation  0B                        -
zpool/gentoo/root  logbias               latency                   default
zpool/gentoo/root  objsetid              390                       -
zpool/gentoo/root  dedup                 off                       default
zpool/gentoo/root  mlslabel              none                      default
zpool/gentoo/root  sync                  standard                  default
zpool/gentoo/root  dnodesize             legacy                    default
zpool/gentoo/root  refcompressratio      1.33x                     -
zpool/gentoo/root  written               756M                      -
zpool/gentoo/root  logicalused           3.94G                     -
zpool/gentoo/root  logicalreferenced     2.97G                     -
zpool/gentoo/root  volmode               default                   default
zpool/gentoo/root  filesystem_limit      none                      default
zpool/gentoo/root  snapshot_limit        none                      default
zpool/gentoo/root  filesystem_count      none                      default
zpool/gentoo/root  snapshot_count        none                      default
zpool/gentoo/root  snapdev               hidden                    default
zpool/gentoo/root  acltype               off                       default
zpool/gentoo/root  context               none                      default
zpool/gentoo/root  fscontext             none                      default
zpool/gentoo/root  defcontext            none                      default
zpool/gentoo/root  rootcontext           none                      default
zpool/gentoo/root  relatime              on                        default
zpool/gentoo/root  redundant_metadata    all                       default
zpool/gentoo/root  overlay               on                        default
zpool/gentoo/root  encryption            aes-256-gcm               -
zpool/gentoo/root  keylocation           none                      default
zpool/gentoo/root  keyformat             raw                       -
zpool/gentoo/root  pbkdf2iters           0                         default
zpool/gentoo/root  encryptionroot        zpool/gentoo              -
zpool/gentoo/root  keystatus             available                 -
zpool/gentoo/root  special_small_blocks  0                         default
zpool/gentoo/root  snapshots_changed     Mon Aug 21 21:02:12 2023  -
