NAME          PROPERTY              VALUE                              SOURCE
zpool/gentoo  type                  filesystem                         -
zpool/gentoo  creation              Sun Aug 20 16:25 2023              -
zpool/gentoo  used                  6.36G                              -
zpool/gentoo  available             3.43T                              -
zpool/gentoo  referenced            98K                                -
zpool/gentoo  compressratio         1.22x                              -
zpool/gentoo  mounted               no                                 -
zpool/gentoo  quota                 none                               default
zpool/gentoo  reservation           none                               default
zpool/gentoo  recordsize            128K                               default
zpool/gentoo  mountpoint            none                               local
zpool/gentoo  sharenfs              off                                default
zpool/gentoo  checksum              on                                 default
zpool/gentoo  compression           on                                 default
zpool/gentoo  atime                 on                                 default
zpool/gentoo  devices               on                                 default
zpool/gentoo  exec                  on                                 default
zpool/gentoo  setuid                on                                 default
zpool/gentoo  readonly              off                                default
zpool/gentoo  zoned                 off                                default
zpool/gentoo  snapdir               hidden                             default
zpool/gentoo  aclmode               discard                            default
zpool/gentoo  aclinherit            restricted                         default
zpool/gentoo  createtxg             85                                 -
zpool/gentoo  canmount              on                                 default
zpool/gentoo  xattr                 on                                 default
zpool/gentoo  copies                1                                  default
zpool/gentoo  version               5                                  -
zpool/gentoo  utf8only              off                                -
zpool/gentoo  normalization         none                               -
zpool/gentoo  casesensitivity       sensitive                          -
zpool/gentoo  vscan                 off                                default
zpool/gentoo  nbmand                off                                default
zpool/gentoo  sharesmb              off                                default
zpool/gentoo  refquota              none                               default
zpool/gentoo  refreservation        none                               default
zpool/gentoo  guid                  15744779107800981945               -
zpool/gentoo  primarycache          all                                default
zpool/gentoo  secondarycache        all                                default
zpool/gentoo  usedbysnapshots       0B                                 -
zpool/gentoo  usedbydataset         98K                                -
zpool/gentoo  usedbychildren        6.36G                              -
zpool/gentoo  usedbyrefreservation  0B                                 -
zpool/gentoo  logbias               latency                            default
zpool/gentoo  objsetid              138                                -
zpool/gentoo  dedup                 off                                default
zpool/gentoo  mlslabel              none                               default
zpool/gentoo  sync                  standard                           default
zpool/gentoo  dnodesize             legacy                             default
zpool/gentoo  refcompressratio      1.00x                              -
zpool/gentoo  written               98K                                -
zpool/gentoo  logicalused           7.38G                              -
zpool/gentoo  logicalreferenced     49K                                -
zpool/gentoo  volmode               default                            default
zpool/gentoo  filesystem_limit      none                               default
zpool/gentoo  snapshot_limit        none                               default
zpool/gentoo  filesystem_count      none                               default
zpool/gentoo  snapshot_count        none                               default
zpool/gentoo  snapdev               hidden                             default
zpool/gentoo  acltype               off                                default
zpool/gentoo  context               none                               default
zpool/gentoo  fscontext             none                               default
zpool/gentoo  defcontext            none                               default
zpool/gentoo  rootcontext           none                               default
zpool/gentoo  relatime              on                                 default
zpool/gentoo  redundant_metadata    all                                default
zpool/gentoo  overlay               on                                 default
zpool/gentoo  encryption            aes-256-gcm                        -
zpool/gentoo  keylocation           file:///boot/zpool_encryption.key  local
zpool/gentoo  keyformat             raw                                -
zpool/gentoo  pbkdf2iters           0                                  default
zpool/gentoo  encryptionroot        zpool/gentoo                       -
zpool/gentoo  keystatus             available                          -
zpool/gentoo  special_small_blocks  0                                  default
