NAME   PROPERTY              VALUE                  SOURCE
zpool  type                  filesystem             -
zpool  creation              Sun Aug 20 16:19 2023  -
zpool  used                  83.0G                  -
zpool  available             3.43T                  -
zpool  referenced            24K                    -
zpool  compressratio         2.00x                  -
zpool  mounted               no                     -
zpool  quota                 none                   default
zpool  reservation           none                   default
zpool  recordsize            128K                   default
zpool  mountpoint            none                   local
zpool  sharenfs              off                    default
zpool  checksum              on                     default
zpool  compression           on                     default
zpool  atime                 on                     default
zpool  devices               on                     default
zpool  exec                  on                     default
zpool  setuid                on                     default
zpool  readonly              off                    default
zpool  zoned                 off                    default
zpool  snapdir               hidden                 default
zpool  aclmode               discard                default
zpool  aclinherit            restricted             default
zpool  createtxg             1                      -
zpool  canmount              on                     default
zpool  xattr                 on                     default
zpool  copies                1                      default
zpool  version               5                      -
zpool  utf8only              off                    -
zpool  normalization         none                   -
zpool  casesensitivity       sensitive              -
zpool  vscan                 off                    default
zpool  nbmand                off                    default
zpool  sharesmb              off                    default
zpool  refquota              none                   default
zpool  refreservation        none                   default
zpool  guid                  17418312763286309092   -
zpool  primarycache          all                    default
zpool  secondarycache        all                    default
zpool  usedbysnapshots       0B                     -
zpool  usedbydataset         24K                    -
zpool  usedbychildren        83.0G                  -
zpool  usedbyrefreservation  0B                     -
zpool  logbias               latency                default
zpool  objsetid              54                     -
zpool  dedup                 off                    default
zpool  mlslabel              none                   default
zpool  sync                  standard               default
zpool  dnodesize             legacy                 default
zpool  refcompressratio      1.00x                  -
zpool  written               24K                    -
zpool  logicalused           164G                   -
zpool  logicalreferenced     12K                    -
zpool  volmode               default                default
zpool  filesystem_limit      none                   default
zpool  snapshot_limit        none                   default
zpool  filesystem_count      none                   default
zpool  snapshot_count        none                   default
zpool  snapdev               hidden                 default
zpool  acltype               off                    default
zpool  context               none                   default
zpool  fscontext             none                   default
zpool  defcontext            none                   default
zpool  rootcontext           none                   default
zpool  relatime              on                     default
zpool  redundant_metadata    all                    default
zpool  overlay               on                     default
zpool  encryption            off                    default
zpool  keylocation           none                   default
zpool  keyformat             none                   default
zpool  pbkdf2iters           0                      default
zpool  special_small_blocks  0                      default
