NAME   PROPERTY                       VALUE                          SOURCE
zpool  size                           3.62T                          -
zpool  capacity                       2%                             -
zpool  altroot                        -                              default
zpool  health                         ONLINE                         -
zpool  guid                           13641190368301957381           -
zpool  version                        -                              default
zpool  bootfs                         -                              default
zpool  delegation                     on                             default
zpool  autoreplace                    off                            default
zpool  cachefile                      none                           local
zpool  failmode                       wait                           default
zpool  listsnapshots                  off                            default
zpool  autoexpand                     off                            default
zpool  dedupratio                     1.00x                          -
zpool  free                           3.54T                          -
zpool  allocated                      83.0G                          -
zpool  readonly                       off                            -
zpool  ashift                         0                              default
zpool  comment                        -                              default
zpool  expandsize                     -                              -
zpool  freeing                        0                              -
zpool  fragmentation                  0%                             -
zpool  leaked                         0                              -
zpool  multihost                      off                            default
zpool  checkpoint                     -                              -
zpool  load_guid                      2147870015948999413            -
zpool  autotrim                       off                            default
zpool  compatibility                  off                            default
zpool  bcloneused                     0                              -
zpool  bclonesaved                    0                              -
zpool  bcloneratio                    1.00x                          -
zpool  feature@async_destroy          enabled                        local
zpool  feature@empty_bpobj            active                         local
zpool  feature@lz4_compress           active                         local
zpool  feature@multi_vdev_crash_dump  enabled                        local
zpool  feature@spacemap_histogram     active                         local
zpool  feature@enabled_txg            active                         local
zpool  feature@hole_birth             active                         local
zpool  feature@extensible_dataset     active                         local
zpool  feature@embedded_data          active                         local
zpool  feature@bookmarks              enabled                        local
zpool  feature@filesystem_limits      enabled                        local
zpool  feature@large_blocks           enabled                        local
zpool  feature@large_dnode            active                         local
zpool  feature@sha512                 enabled                        local
zpool  feature@skein                  enabled                        local
zpool  feature@edonr                  enabled                        local
zpool  feature@userobj_accounting     active                         local
zpool  feature@encryption             active                         local
zpool  feature@project_quota          active                         local
zpool  feature@device_removal         enabled                        local
zpool  feature@obsolete_counts        enabled                        local
zpool  feature@zpool_checkpoint       enabled                        local
zpool  feature@spacemap_v2            active                         local
zpool  feature@allocation_classes     enabled                        local
zpool  feature@resilver_defer         enabled                        local
zpool  feature@bookmark_v2            enabled                        local
zpool  feature@redaction_bookmarks    enabled                        local
zpool  feature@redacted_datasets      enabled                        local
zpool  feature@bookmark_written       enabled                        local
zpool  feature@log_spacemap           active                         local
zpool  feature@livelist               active                         local
zpool  feature@device_rebuild         enabled                        local
zpool  feature@zstd_compress          enabled                        local
zpool  feature@draid                  enabled                        local
zpool  feature@zilsaxattr             disabled                       local
zpool  feature@head_errlog            disabled                       local
zpool  feature@blake3                 disabled                       local
zpool  feature@block_cloning          disabled                       local
zpool  feature@vdev_zaps_v2           disabled                       local
